"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 27, 2021","763.02","753.07","764.81","750.08","32.43K","1.32%"
"Dec 24, 2021","753.11","748.04","760.57","741.60","39.23K","0.68%"
"Dec 23, 2021","748.04","773.45","776.24","742.35","63.04K","-3.29%"
"Dec 22, 2021","773.45","777.90","784.58","769.56","48.56K","-0.57%"
"Dec 21, 2021","777.90","778.42","782.28","766.26","42.35K","0.24%"
"Dec 20, 2021","776.01","778.32","783.01","767.95","49.52K","-0.30%"
"Dec 17, 2021","778.32","770.78","781.39","770.74","51.59K","0.98%"
"Dec 16, 2021","770.74","761.03","772.05","759.73","44.31K","1.28%"
"Dec 15, 2021","761.03","765.16","770.17","761.01","44.07K","-0.54%"
"Dec 14, 2021","765.16","771.72","775.60","758.79","39.99K","-0.85%"
"Dec 13, 2021","771.72","755.00","773.16","754.63","39.85K","2.22%"
"Dec 10, 2021","754.95","763.62","766.88","752.59","38.34K","-1.11%"
"Dec 09, 2021","763.46","755.42","764.26","751.40","36.06K","1.06%"
"Dec 08, 2021","755.42","741.77","760.12","741.77","53.76K","1.71%"
"Dec 07, 2021","742.73","713.35","742.73","713.26","44.12K","3.94%"
"Dec 06, 2021","714.55","740.91","741.55","709.12","51.19K","-3.56%"
"Dec 03, 2021","740.91","766.48","768.21","740.91","63.30K","-2.81%"
"Dec 02, 2021","762.31","758.73","769.33","749.29","45.84K","0.91%"
"Dec 01, 2021","755.46","764.35","765.35","752.63","44.46K","-1.16%"
"Nov 30, 2021","764.35","767.97","774.45","758.68","65.26K","-0.38%"
"Nov 29, 2021","767.24","762.17","772.34","742.41","55.38K","0.32%"
"Nov 26, 2021","764.80","768.66","778.85","758.61","51.18K","-0.50%"
"Nov 25, 2021","768.66","760.88","771.82","758.49","43.48K","1.53%"
"Nov 24, 2021","757.04","743.07","757.85","741.54","45.29K","1.88%"
"Nov 23, 2021","743.07","734.07","743.07","721.55","47.86K","1.26%"
"Nov 22, 2021","733.85","750.66","755.65","725.34","70.49K","-1.95%"
"Nov 19, 2021","748.46","764.38","777.01","741.77","95.86K","-2.08%"
"Nov 18, 2021","764.38","750.58","766.52","750.58","62.49K","1.84%"
"Nov 17, 2021","750.58","744.28","752.30","737.39","52.48K","1.19%"
"Nov 16, 2021","741.75","733.52","744.63","722.22","72.77K","1.44%"
