"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 10, 2021","335.08","330.68","335.32","330.62","161.45K","1.33%"
"Aug 09, 2021","330.68","325.47","330.82","323.81","136.71K","1.60%"
"Aug 06, 2021","325.46","325.46","327.38","324.45","135.33K","0.00%"
"Aug 05, 2021","325.46","320.02","325.51","318.93","134.09K","1.70%"
"Aug 04, 2021","320.02","319.14","326.59","318.21","119.08K","0.28%"
"Aug 03, 2021","319.13","314.94","319.13","314.17","113.02K","1.33%"
"Aug 02, 2021","314.93","314.86","317.70","314.06","102.57K","0.03%"
"Jul 30, 2021","314.85","311.00","315.02","310.97","106.37K","1.25%"
"Jul 29, 2021","310.97","306.36","311.25","306.04","87.61K","1.54%"
"Jul 28, 2021","306.25","306.00","307.27","298.93","62.29K","0.08%"
"Jul 27, 2021","306.00","302.76","307.68","296.17","90.26K","1.03%"
"Jul 26, 2021","302.88","299.81","303.21","298.75","71.58K","0.37%"
"Jul 23, 2021","301.77","305.97","306.47","301.77","86.90K","-1.37%"
"Jul 22, 2021","305.97","300.82","306.69","300.03","87.18K","1.72%"
"Jul 21, 2021","300.80","301.11","304.28","299.07","59.48K","-0.10%"
"Jul 20, 2021","301.11","292.08","301.11","288.79","92.86K","3.10%"
"Jul 19, 2021","292.06","307.74","307.74","291.84","115.98K","-5.10%"
"Jul 16, 2021","307.76","306.30","311.57","306.30","94.96K","0.48%"
"Jul 15, 2021","306.30","296.84","306.30","295.01","88.83K","3.19%"
"Jul 14, 2021","296.84","295.97","299.85","292.11","88.49K","0.05%"
"Jul 13, 2021","296.70","292.67","298.58","292.22","100.79K","1.27%"
"Jul 12, 2021","292.98","306.73","307.94","288.27","183.25K","-4.48%"
"Jul 09, 2021","306.73","315.98","317.36","306.54","119.80K","-2.93%"
"Jul 08, 2021","315.98","319.80","321.48","315.82","94.60K","-1.20%"
"Jul 07, 2021","319.83","318.51","324.98","312.46","145.94K","0.41%"
"Jul 06, 2021","318.51","327.76","330.97","318.51","160.20K","-2.82%"
"Jul 05, 2021","327.76","328.06","329.00","323.40","138.24K","-0.08%"
"Jul 02, 2021","328.01","325.72","328.79","325.60","139.52K","0.70%"
"Jul 01, 2021","325.72","323.32","326.55","321.63","151.07K","0.74%"
"Jun 30, 2021","323.32","323.79","324.77","321.75","99.82K","-0.15%"
"Jun 29, 2021","323.79","323.10","325.57","322.22","128.61K","0.21%"
"Jun 28, 2021","323.10","318.22","323.30","318.04","127.96K","1.53%"
"Jun 25, 2021","318.22","315.08","318.23","313.55","117.52K","1.00%"
"Jun 24, 2021","315.08","315.81","317.38","313.67","89.49K","-0.23%"
"Jun 23, 2021","315.80","317.09","318.71","314.89","122.03K","-0.41%"
"Jun 22, 2021","317.09","316.24","322.84","316.24","139.00K","0.27%"
"Jun 21, 2021","316.24","318.73","320.01","315.74","136.50K","-0.78%"
"Jun 18, 2021","318.73","317.07","320.63","316.82","134.89K","0.52%"
"Jun 17, 2021","317.07","313.64","317.18","309.50","146.32K","1.09%"
"Jun 16, 2021","313.65","318.29","320.94","313.65","174.23K","-1.46%"
"Jun 15, 2021","318.29","318.83","321.81","317.67","152.94K","-0.23%"
"Jun 14, 2021","319.01","316.71","322.23","316.68","165.10K","0.73%"
"Jun 11, 2021","316.69","311.32","320.23","311.27","149.81K","1.72%"
"Jun 10, 2021","311.32","316.88","319.11","311.32","142.39K","-1.75%"
"Jun 09, 2021","316.87","306.39","317.16","302.08","150.52K","3.42%"
"Jun 08, 2021","306.39","318.64","324.87","301.58","222.19K","-3.84%"
"Jun 07, 2021","318.63","329.76","330.65","317.09","224.09K","-3.38%"
"Jun 04, 2021","329.76","329.95","331.90","325.25","203.05K","-0.06%"
"Jun 03, 2021","329.95","322.05","331.40","321.87","222.87K","2.45%"
"Jun 02, 2021","322.05","318.47","322.10","314.06","177.49K","1.12%"
"Jun 01, 2021","318.47","317.87","324.70","315.90","201.09K","0.20%"
"May 31, 2021","317.85","310.63","318.37","308.70","186.21K","2.38%"
"May 28, 2021","310.46","304.28","311.38","303.55","168.33K","1.97%"
"May 27, 2021","304.45","304.83","307.41","301.49","137.89K","-0.13%"
"May 26, 2021","304.86","301.63","305.72","301.03","135.89K","1.08%"
"May 25, 2021","301.59","300.47","301.83","299.78","116.14K","0.42%"
"May 24, 2021","300.33","298.01","300.33","297.67","106.80K","0.79%"
"May 21, 2021","297.99","295.10","299.63","293.98","133.04K","0.98%"
"May 20, 2021","295.10","295.39","296.29","294.33","124.96K","-0.05%"
